Tract,Population,Households,PM25,Ozone,Diesel_PM,NO2,Toxic_Air_Releases,Superfund_Prox,RMP_Prox,HazWaste_Prox,Percent_HHLeadPaint,Traffic_Prox,DW_Noncomp,WW_Discharge,Socioecon_Percentile,HHVuln_Percentile,Minority_Percentile,HouseType_Percentile,cluster,Is_DAC
36047079801,3238.0,1512.0,44.0,69.0,98.0,97.0,43.0,91.0,0.0,94.0,99.0,89.0,93.0,78.0,72.78,3.8,75.57000000000001,72.77,3,0
36047079802,4962.0,2591.0,43.0,69.0,98.0,98.0,43.0,91.0,0.0,94.0,83.0,89.0,93.0,78.0,69.42,11.73,81.67999999999999,71.5,3,0
36047080000,3571.0,1403.0,44.0,70.0,98.0,97.0,43.0,91.0,0.0,94.0,99.0,88.0,93.0,78.0,64.05999999999999,13.06,79.11,63.23,3,0
36047080200,4336.0,1893.0,43.0,70.0,98.0,97.0,43.0,90.0,0.0,93.0,92.0,88.0,93.0,78.0,61.870000000000005,32.62,87.12,67.95,0,0
36047080400,3363.0,1419.0,43.0,70.0,98.0,97.0,43.0,90.0,0.0,93.0,95.0,88.0,93.0,78.0,59.74,13.38,88.91,83.62,0,0
36047080600,3591.0,1269.0,43.0,70.0,98.0,96.0,42.0,91.0,0.0,94.0,78.0,88.0,93.0,78.0,69.07,9.68,80.7,91.57,3,0
36047080800,2046.0,720.0,42.0,70.0,98.0,97.0,42.0,90.0,0.0,94.0,11.0,87.0,93.0,77.0,99.49,98.42,85.16,91.81,0,1
36047081000,2484.0,926.0,43.0,70.0,98.0,96.0,42.0,90.0,0.0,93.0,71.0,87.0,93.0,78.0,58.81999999999999,31.71,88.53,93.14,0,0
36047081400,2556.0,970.0,42.0,70.0,98.0,96.0,42.0,89.0,0.0,94.0,97.0,86.0,93.0,77.0,65.28,85.13,95.88,84.07,0,0
36047081600,2969.0,998.0,42.0,70.0,98.0,96.0,42.0,89.0,0.0,93.0,99.0,86.0,93.0,77.0,54.26,33.97,92.17,91.08,0,0
36047081800,4190.0,1748.0,42.0,70.0,98.0,96.0,42.0,90.0,0.0,93.0,86.0,87.0,93.0,77.0,72.6,45.37,90.24,97.29,0,0
36047082000,5429.0,2402.0,42.0,69.0,98.0,97.0,43.0,90.0,0.0,93.0,92.0,88.0,93.0,77.0,82.99,17.31,89.60000000000001,99.23,0,0
36047082200,7977.0,3060.0,42.0,69.0,98.0,97.0,43.0,90.0,0.0,93.0,97.0,88.0,93.0,77.0,74.07000000000001,36.86,91.69,96.92,0,1
