Tract,Population,Households,PM25,Ozone,Diesel_PM,Toxic_Air_Releases,Percent_HHLeadPaint,Superfund_Prox,RMP_Prox,HazWaste_Prox,WW_Discharge,NO2,DW_Noncomp,Traffic_Prox,Is_DAC,Socioecon_Percentile,HHVuln_Percentile,Minority_Percentile,HouseType_Percentile,Vulnerability_Percentile
36061013501,4569.0,2493.0,54.0,69.0,97.0,51.0,34.0,98.0,44.0,98.0,96.0,98.0,93.0,94.0,1,26.96,26.169999999999998,77.53999999999999,77.7,47.620000000000005
36061013502,5593.0,3323.0,54.0,69.0,97.0,51.0,29.0,98.0,44.0,99.0,96.0,97.0,93.0,95.0,1,67.47999999999999,64.99000000000001,74.63,99.41,88.87
36061013601,1722.0,924.0,53.0,72.0,99.0,42.0,82.0,93.0,0.0,98.0,99.0,,93.0,96.0,0,8.04,29.53,23.06,37.25,15.36
36061013602,6142.0,2660.0,53.0,71.0,99.0,43.0,51.0,93.0,0.0,98.0,98.0,84.0,93.0,96.0,0,6.81,62.2,34.06,77.71000000000001,36.71
36061013603,3937.0,2363.0,53.0,71.0,99.0,45.0,64.0,93.0,0.0,98.0,98.0,98.0,93.0,95.0,0,6.23,9.35,22.24,80.9,20.49
36061013604,3435.0,2237.0,53.0,71.0,99.0,43.0,87.0,93.0,0.0,98.0,98.0,97.0,93.0,95.0,0,5.62,1.91,24.39,67.17999999999999,9.31
36061013700,6673.0,3414.0,53.0,70.0,99.0,48.0,80.0,96.0,32.0,98.0,97.0,98.0,93.0,95.0,0,17.45,12.2,52.2,98.14,46.96
36061013800,12826.0,6934.0,53.0,71.0,99.0,45.0,77.0,93.0,0.0,98.0,98.0,98.0,93.0,95.0,0,19.81,4.64,41.31,96.28999999999999,37.480000000000004
36061013900,9612.0,6641.0,54.0,70.0,97.0,50.0,82.0,97.0,33.0,98.0,96.0,97.0,93.0,94.0,0,44.57,40.25,49.7,89.09,62.23
36061014000,7487.0,4015.0,54.0,71.0,99.0,45.0,92.0,94.0,0.0,98.0,98.0,98.0,93.0,95.0,0,17.03,9.64,19.57,72.33000000000001,24.060000000000002
36061014200,4254.0,1910.0,54.0,71.0,99.0,45.0,93.0,94.0,32.0,97.0,98.0,98.0,93.0,94.0,0,16.39,38.72,39.92,65.24,33.89
36061014401,4514.0,2355.0,53.0,71.0,99.0,43.0,87.0,93.0,0.0,98.0,98.0,97.0,92.0,95.0,0,1.25,7.01,37.08,65.4,11.58
36061014402,6742.0,3720.0,53.0,72.0,99.0,42.0,70.0,93.0,0.0,97.0,99.0,97.0,93.0,96.0,0,27.529999999999998,4.41,45.739999999999995,78.81,31.35
36061014500,6620.0,3095.0,54.0,70.0,97.0,50.0,52.0,97.0,33.0,98.0,96.0,96.0,93.0,94.0,0,16.869999999999997,12.479999999999999,58.15,97.84,47.160000000000004
36061014601,3705.0,2160.0,54.0,71.0,99.0,45.0,77.0,93.0,0.0,98.0,98.0,98.0,93.0,95.0,0,26.13,4.89,43.62,95.28999999999999,40.849999999999994
